id_noticia,Alemania,Argentina,Australia,Brasil,Canadá,España,Estados Unidos,India,Italia,Francia,Kenia,México,Nueva Zelanda,Rusia,China,categoria,contenido,Año,Mes,Día,fuente,impacto_cultivos,severidad,titular
NEWS6582,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,clima,Eventos climáticos extremos están afectando la producción de café en Kenia. Los agricultores reportan pérdidas del 35% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,23,Bloomberg Commodities,Café,media,Sequía afecta proyecciones de cosecha en Kenia
NEWS8516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en China. Los agricultores reportan pérdidas del 15% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,octubre,23,World Grain,Maíz,baja,Heladas tardías dañan frutales en China
NEWS9993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en India. Los agricultores reportan pérdidas del 40% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,diciembre,22,Meat+Poultry,Maíz,alta,Ola de calor reduce rendimientos de Maíz
NEWS2701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,clima,Eventos climáticos extremos están afectando la producción de trigo en China. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,marzo,9,Farm Journal,trigo,baja,Inundaciones devastan cultivos en la región
NEWS2755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,comercio,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,marzo,7,AgriCensus,todos,baja,Nueva política agrícola en Alemania busca mejorar sostenibilidad
NEWS2574,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,comercio,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,mayo,30,Bloomberg Commodities,todos,alta,Nueva política agrícola en Alemania busca mejorar sostenibilidad
NEWS5711,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,febrero,13,Farm Journal,todos,media,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS7467,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,3,Bloomberg Commodities,todos,alta,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS4380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,31,Reuters Agricultura,todos,media,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS1320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,comercio,El gobierno de Australia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,abril,14,Bloomberg Commodities,todos,alta,Nueva política agrícola en Australia busca mejorar sostenibilidad
NEWS7808,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,comercio,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,abril,12,Dairy Reporter,todos,baja,Nueva política agrícola en China busca mejorar sostenibilidad
NEWS4020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,comercio,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,junio,29,Bloomberg Commodities,todos,alta,Nueva política agrícola en China busca mejorar sostenibilidad
NEWS1023,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,comercio,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,abril,25,Meat+Poultry,todos,alta,Nueva política agrícola en Italia busca mejorar sostenibilidad
NEWS5455,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,mercado,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 26% en el último mes. Brasil se posiciona como un actor clave en este mercado.,2023,mayo,11,Bloomberg Commodities,Arroz,media,Demanda china impulsa mercado de arroz
NEWS9989,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,mercado,El mercado internacional de soja muestra una tendencia bajando. Los precios han bajando un 14% en el último mes. España se posiciona como un actor clave en este mercado.,2021,abril,18,World Grain,soja,media,Demanda china impulsa mercado de soja
NEWS3388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mercado,El mercado internacional de trigo muestra una tendencia subiendo. Los precios han subiendo un 19% en el último mes. México se posiciona como un actor clave en este mercado.,2021,junio,17,World Grain,trigo,baja,México aumenta exportaciones de trigo
NEWS4443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,politica,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,8,Bloomberg Commodities,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad
NEWS4478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,politica,El gobierno de Francia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,diciembre,3,AgriCensus,todos,baja,Nueva política agrícola en Francia busca mejorar sostenibilidad
NEWS9682,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,politica,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,marzo,15,AgriCensus,todos,baja,Nueva política agrícola en Italia busca mejorar sostenibilidad
NEWS6460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,politica,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,febrero,15,Reuters Agricultura,todos,media,Nueva política agrícola en Rusia busca mejorar sostenibilidad
NEWS4675,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,sanidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,noviembre,25,Meat+Poultry,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad
NEWS1658,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,sanidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,julio,26,Dairy Reporter,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad
NEWS9462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sanidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,febrero,9,AgriCensus,todos,alta,Nueva política agrícola en China busca mejorar sostenibilidad
NEWS2857,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,sanidad,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,noviembre,29,Bloomberg Commodities,todos,alta,Nueva política agrícola en Kenia busca mejorar sostenibilidad
NEWS2524,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,tecnologia,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,noviembre,1,AgriCensus,todos,baja,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS8920,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tecnologia,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,julio,24,Meat+Poultry,todos,baja,Nueva política agrícola en India busca mejorar sostenibilidad
NEWS9395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tecnologia,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,junio,29,AgriCensus,todos,media,Nueva política agrícola en Italia busca mejorar sostenibilidad
NEWS3042,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,tecnologia,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,mayo,18,Bloomberg Commodities,todos,media,Nueva política agrícola en Kenia busca mejorar sostenibilidad
NEWS4840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tecnologia,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,diciembre,26,Bloomberg Commodities,todos,baja,Nueva política agrícola en Rusia busca mejorar sostenibilidad
NEWS9099,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,comercio,El gobierno de España ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,agosto,18,Farm Journal,todos,baja,Nueva política agrícola en España busca mejorar sostenibilidad
NEWS8393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 9% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,mayo,9,Reuters Agricultura,soja,media,Sequía afecta proyecciones de cosecha en Estados Unidos
NEWS3127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,comercio,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,marzo,13,AgriCensus,todos,media,Nueva política agrícola en India busca mejorar sostenibilidad
NEWS7613,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,comercio,El gobierno de México ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,enero,21,Farm Journal,todos,media,Nueva política agrícola en México busca mejorar sostenibilidad
NEWS6787,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,politica,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,junio,11,Farm Journal,todos,baja,Nueva política agrícola en Italia busca mejorar sostenibilidad
NEWS8884,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,sanidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,mayo,20,Reuters Agricultura,todos,alta,Nueva política agrícola en Italia busca mejorar sostenibilidad
NEWS5385,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,tecnologia,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,enero,16,World Grain,todos,alta,Nueva política agrícola en India busca mejorar sostenibilidad
NEWS9987,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,mercado,El mercado internacional de maíz muestra una tendencia subiendo. Los precios han subiendo un 9% en el último mes. Alemania se posiciona como un actor clave en este mercado.,2023,julio,13,Bloomberg Commodities,Maíz,media,Precios de maíz alcanzan máximo histórico
NEWS6916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 11% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,febrero,24,Dairy Reporter,soja,media,Sequía afecta proyecciones de cosecha en Estados Unidos
NEWS9010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,comercio,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,octubre,14,Meat+Poultry,todos,alta,Nueva política agrícola en Canadá busca mejorar sostenibilidad
NEWS5336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,politica,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,enero,1,Bloomberg Commodities,todos,alta,Nueva política agrícola en Canadá busca mejorar sostenibilidad
NEWS6757,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,sanidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,junio,28,Bloomberg Commodities,todos,alta,Nueva política agrícola en Canadá busca mejorar sostenibilidad
NEWS9971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sanidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,abril,28,AgriCensus,todos,alta,Nueva política agrícola en Italia busca mejorar sostenibilidad
NEWS6052,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,tecnologia,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,octubre,8,AgriCensus,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad
NEWS9568,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,clima,Eventos climáticos extremos están afectando la producción de arroz en Australia. Los agricultores reportan pérdidas del 37% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,marzo,30,Meat+Poultry,Arroz,baja,Inundaciones devastan cultivos en Wheatbelt
NEWS8360,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,clima,Eventos climáticos extremos están afectando la producción de arroz en Canadá. Los agricultores reportan pérdidas del 21% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,enero,11,Dairy Reporter,Arroz,baja,Ola de calor reduce rendimientos de Arroz
NEWS6016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en Alemania. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,enero,19,World Grain,Maíz,alta,Sequía afecta proyecciones de cosecha en Alemania
NEWS5201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mercado,El mercado internacional de arroz muestra una tendencia bajando. Los precios han bajando un 7% en el último mes. India se posiciona como un actor clave en este mercado.,2023,julio,28,Dairy Reporter,Arroz,media,Precios de arroz alcanzan máximo histórico
NEWS8036,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,mercado,El mercado internacional de carne_bovina muestra una tendencia bajando. Los precios han bajando un 9% en el último mes. Rusia se posiciona como un actor clave en este mercado.,2021,marzo,10,Reuters Agricultura,carne_bovina,alta,Demanda china impulsa mercado de carne_bovina
NEWS1596,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,tecnologia,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,septiembre,5,Meat+Poultry,todos,media,Nueva política agrícola en Alemania busca mejorar sostenibilidad
NEWS2746,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de girasol en Italia. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,27,Farm Journal,Girasol,media,Inundaciones devastan cultivos en la región
NEWS8593,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de girasol en Kenia. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,20,Bloomberg Commodities,Girasol,media,Sequía afecta proyecciones de cosecha en Kenia
NEWS6507,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,sanidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,junio,12,World Grain,todos,baja,Nueva política agrícola en India busca mejorar sostenibilidad
NEWS2690,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,mercado,El mercado internacional de trigo muestra una tendencia bajando. Los precios han bajando un 6% en el último mes. México se posiciona como un actor clave en este mercado.,2023,junio,24,World Grain,trigo,media,México restringe importaciones de trigo
NEWS7644,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,politica,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,junio,10,World Grain,todos,alta,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad
NEWS3628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,comercio,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,diciembre,10,Bloomberg Commodities,todos,media,Nueva política agrícola en Canadá busca mejorar sostenibilidad
NEWS9501,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mercado,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 3% en el último mes. España se posiciona como un actor clave en este mercado.,2022,septiembre,15,Bloomberg Commodities,Arroz,media,España aumenta exportaciones de arroz
NEWS1225,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mercado,El mercado internacional de maíz muestra una tendencia bajando. Los precios han bajando un 11% en el último mes. Alemania se posiciona como un actor clave en este mercado.,2022,noviembre,9,AgriCensus,Maíz,media,Demanda china impulsa mercado de maíz
NEWS5795,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tecnologia,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,mayo,6,Reuters Agricultura,todos,alta,Nueva política agrícola en India busca mejorar sostenibilidad
NEWS6786,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,tecnologia,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,octubre,7,AgriCensus,todos,baja,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad
NEWS3507,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,comercio,El gobierno de Estados Unidos ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,septiembre,29,AgriCensus,todos,alta,Nueva política agrícola en Estados Unidos busca mejorar sostenibilidad
