Año,Mes,Día,Area_afectada,Cultivo,Eficacia,Pais,Perdida_estimada,Plaga_detectada,Region,Severidad,Tratamiento_Aplicado,Mes_Num,Fecha_Completa
2020,enero,1,2745,Arroz,93,China,26,Barrenador del tallo,Región Principal,Media,Químico (Epoxiconazole),1,2020-01-01
2020,enero,13,3943,Caña de azúcar,97,Francia,17,Chinche marrón,Región Principal,Crítica,Cultural (Control manual),1,2020-01-13
2020,enero,15,10,Maíz,82,Brasil,38,Oruga militar tardía,Cerrado,Alta,Cultural (Fecha de siembra ajustada),1,2020-01-15
2020,enero,18,3064,Maíz,83,Brasil,3,Barrenador del tallo,Mata Atlántica,Crítica,Biológico (Trichogramma spp.),1,2020-01-18
2020,enero,23,995,Soja,75,Argentina,2,Langosta,Patagonia,Media,Biológico (Trichogramma spp.),1,2020-01-23
2020,enero,25,2222,Arroz,88,Brasil,32,Podredumbre,Pampas,Alta,Biológico (Nematodos entomopatógenos),1,2020-01-25
2020,enero,27,314,Arroz,96,Estados Unidos,31,Ácaro,Corn Belt,Baja,Físico (Barreras físicas),1,2020-01-27
2020,febrero,3,3935,Maíz,70,Estados Unidos,19,Mosca blanca,Corn Belt,Alta,Químico (Lambda-cihalotrin),2,2020-02-03
2020,febrero,17,4588,Arroz,92,India,5,Piricularia,Coastal,Crítica,Físico (Trampas de feromonas),2,2020-02-17
2020,febrero,22,3067,Soja,87,Francia,36,Langosta,Región Principal,Media,Cultural (Control manual),2,2020-02-22
2020,febrero,25,3839,Girasol,74,Francia,33,Ácaro,Región Principal,Alta,Cultural (Fecha de siembra ajustada),2,2020-02-25
2020,marzo,7,2736,Girasol,84,Alemania,30,Mosca blanca,Región Principal,Media,Cultural (Control manual),3,2020-03-07
2020,marzo,20,4435,Maíz,96,Estados Unidos,15,Chinche marrón,California,Alta,Químico (Imidacloprid),3,2020-03-20
2020,abril,3,4266,Soja,70,Alemania,18,Podredumbre,Región Principal,Baja,Biológico (Nematodos entomopatógenos),4,2020-04-03
2020,abril,18,4502,Arroz,91,Estados Unidos,27,Pulgón,California,Alta,Físico (Control térmico),4,2020-04-18
2020,abril,22,1552,Algodón,95,Francia,8,Langosta,Región Principal,Media,Biológico (Nematodos entomopatógenos),4,2020-04-22
2020,abril,30,1724,Soja,70,Estados Unidos,3,Ácaro,California,Alta,Biológico (Bacillus thuringiensis),4,2020-04-30
2020,mayo,1,2086,Soja,83,China,24,Gusano cogollero,Región Principal,Baja,Físico (Trampas de feromonas),5,2020-05-01
2020,mayo,12,2498,Maíz,88,Alemania,32,Pulgón,Región Principal,Media,Físico (Control térmico),5,2020-05-12
2020,mayo,23,2105,Caña de azúcar,94,Argentina,36,Pulgón,Pampa Húmeda,Baja,Físico (Barreras físicas),5,2020-05-23
2020,junio,5,3122,Algodón,94,Brasil,7,Oídio,Mata Atlántica,Baja,Biológico (Trichogramma spp.),6,2020-06-05
2020,junio,13,3121,Café,89,China,32,Gusano cogollero,Región Principal,Crítica,Cultural (Rotación de cultivos),6,2020-06-13
2020,junio,14,94,Cebada,86,Francia,30,Ácaro,Región Principal,Baja,Químico (Clorantraniliprol),6,2020-06-14
2020,junio,16,2084,Caña de azúcar,86,Estados Unidos,33,Ácaro,California,Baja,Biológico (Nematodos entomopatógenos),6,2020-06-16
2020,junio,19,908,Cebada,76,Australia,32,Pulgón,Wheatbelt,Crítica,Químico (Clorantraniliprol),6,2020-06-19
2020,junio,27,369,Maíz,77,India,23,Roya de la hoja,Coastal,Crítica,Cultural (Rotación de cultivos),6,2020-06-27
2020,julio,11,1357,Arroz,93,Australia,40,Roya amarilla,Tasmania,Baja,Químico (Imidacloprid),7,2020-07-11
2020,julio,21,4312,Caña de azúcar,87,Argentina,8,Ácaro,Noroeste,Baja,Cultural (Control manual),7,2020-07-21
2020,julio,28,543,Maíz,98,Australia,24,Ácaro,Queensland Coast,Baja,Biológico (Trichogramma spp.),7,2020-07-28
2020,agosto,5,207,Café,88,Alemania,13,Roya de la hoja,Región Principal,Baja,Químico (Clorantraniliprol),8,2020-08-05
2020,agosto,16,1529,Caña de azúcar,87,India,4,Langosta,Deccan,Baja,Físico (Trampas de feromonas),8,2020-08-16
2020,agosto,20,3056,Trigo,95,India,2,Ácaro,Deccan,Baja,Biológico (Nematodos entomopatógenos),8,2020-08-20
2020,agosto,22,2006,Té,76,China,32,Chinche marrón,Región Principal,Alta,Físico (Trampas de feromonas),8,2020-08-22
2020,agosto,30,1050,Arroz,85,Australia,34,Gusano cogollero,Murray-Darling Basin,Media,Químico (Clorantraniliprol),8,2020-08-30
2020,septiembre,1,2160,Arroz,94,Estados Unidos,29,Antracnosis,Pacific Northwest,Media,Físico (Trampas de feromonas),9,2020-09-01
2020,septiembre,2,3694,Algodón,85,Francia,34,Pulgón,Región Principal,Crítica,Químico (Imidacloprid),9,2020-09-02
2020,septiembre,17,624,Trigo,70,Alemania,28,Mosca blanca,Región Principal,Crítica,Físico (Control térmico),9,2020-09-17
2020,septiembre,19,3815,Trigo,96,Brasil,36,Ácaro,Cerrado,Alta,Cultural (Fecha de siembra ajustada),9,2020-09-19
2020,septiembre,29,3854,Cebada,92,Francia,33,Ácaro,Región Principal,Media,Cultural (Rotación de cultivos),9,2020-09-29
2020,octubre,5,2574,Cebada,88,Brasil,14,Fusarium,Mata Atlántica,Media,Cultural (Rotación de cultivos),10,2020-10-05
2020,octubre,11,2171,Arroz,91,China,14,Ácaro,Región Principal,Alta,Físico (Control térmico),10,2020-10-11
2020,octubre,24,1684,Cebada,86,Estados Unidos,13,Pulgón,Great Plains,Alta,Físico (Control térmico),10,2020-10-24
2020,octubre,26,4081,Arroz,82,China,32,Pulgón,Región Principal,Media,Cultural (Rotación de cultivos),10,2020-10-26
2020,noviembre,7,4974,Té,73,China,26,Chinche marrón,Región Principal,Alta,Biológico (Trichogramma spp.),11,2020-11-07
2020,noviembre,21,3735,Maíz,88,Alemania,28,Mosca blanca,Región Principal,Crítica,Cultural (Control manual),11,2020-11-21
2020,noviembre,25,3912,Maíz,80,China,9,Langosta,Región Principal,Baja,Físico (Barreras físicas),11,2020-11-25
2020,noviembre,28,585,Soja,87,Estados Unidos,36,Piricularia,California,Baja,Cultural (Rotación de cultivos),11,2020-11-28
2020,diciembre,3,922,Soja,93,Estados Unidos,19,Oruga militar tardía,Pacific Northwest,Baja,Cultural (Control manual),12,2020-12-03
2020,diciembre,8,1946,Arroz,87,Alemania,39,Mosca blanca,Región Principal,Alta,Químico (Clorantraniliprol),12,2020-12-08
2020,diciembre,14,756,Trigo,73,India,8,Oruga militar tardía,Coastal,Media,Cultural (Fecha de siembra ajustada),12,2020-12-14
2020,diciembre,18,1815,Arroz,70,Alemania,17,Chinche marrón,Región Principal,Media,Cultural (Rotación de cultivos),12,2020-12-18
2020,diciembre,29,681,Algodón,84,China,30,Barrenador del tallo,Región Principal,Baja,Físico (Control térmico),12,2020-12-29
2021,enero,1,4036,Té,80,Alemania,22,Mosca blanca,Región Principal,Media,Físico (Control térmico),1,2021-01-01
2021,enero,2,1193,Café,96,Australia,26,Tizón tardío,Tasmania,Alta,Biológico (Nematodos entomopatógenos),1,2021-01-02
2021,enero,5,2047,Arroz,82,Alemania,40,Ácaro,Región Principal,Alta,Cultural (Rotación de cultivos),1,2021-01-05
2021,enero,20,189,Maíz,81,Australia,25,Gusano cogollero,Wheatbelt,Crítica,Físico (Control térmico),1,2021-01-20
2021,enero,27,3592,Caña de azúcar,77,Argentina,19,Mildiu,Noroeste,Baja,Cultural (Fecha de siembra ajustada),1,2021-01-27
2021,febrero,2,3134,Caña de azúcar,94,China,16,Barrenador del tallo,Región Principal,Baja,Cultural (Rotación de cultivos),2,2021-02-02
2021,febrero,4,1230,Soja,97,Estados Unidos,29,Mosca blanca,Corn Belt,Crítica,Cultural (Rotación de cultivos),2,2021-02-04
2021,febrero,9,765,Arroz,90,Estados Unidos,13,Gusano cogollero,Pacific Northwest,Media,Biológico (Nematodos entomopatógenos),2,2021-02-09
2021,febrero,14,561,Algodón,96,Australia,13,Barrenador del tallo,Wheatbelt,Baja,Biológico (Trichogramma spp.),2,2021-02-14
2021,febrero,23,2022,Caña de azúcar,97,Brasil,12,Roya de la hoja,Mata Atlántica,Media,Biológico (Trichogramma spp.),2,2021-02-23
2021,marzo,8,1115,Café,85,China,11,Oruga militar tardía,Región Principal,Crítica,Químico (Clorantraniliprol),3,2021-03-08
2021,marzo,22,2023,Arroz,92,Estados Unidos,9,Mosca blanca,California,Crítica,Físico (Trampas de feromonas),3,2021-03-22
2021,abril,3,14,Trigo,86,India,33,Ácaro,Punjab,Media,Cultural (Fecha de siembra ajustada),4,2021-04-03
2021,abril,14,4970,Café,86,Alemania,28,Oídio,Región Principal,Alta,Físico (Barreras físicas),4,2021-04-14
2021,abril,17,956,Trigo,82,Australia,21,Pulgón,Murray-Darling Basin,Alta,Físico (Barreras físicas),4,2021-04-17
2021,abril,23,3577,Girasol,97,Argentina,39,Oruga militar tardía,Noroeste,Media,Químico (Epoxiconazole),4,2021-04-23
2021,mayo,6,3606,Cebada,82,Estados Unidos,31,Oruga militar tardía,Pacific Northwest,Media,Cultural (Fecha de siembra ajustada),5,2021-05-06
2021,mayo,18,2020,Girasol,79,Australia,25,Ácaro,Wheatbelt,Baja,Químico (Clorantraniliprol),5,2021-05-18
2021,mayo,19,4910,Caña de azúcar,96,Francia,34,Mildiu,Región Principal,Baja,Cultural (Fecha de siembra ajustada),5,2021-05-19
2021,mayo,28,2552,Maíz,73,Australia,11,Pulgón,Tasmania,Media,Químico (Clorantraniliprol),5,2021-05-28
2021,junio,9,3682,Maíz,95,China,31,Pulgón,Región Principal,Baja,Físico (Barreras físicas),6,2021-06-09
2021,junio,15,4003,Cebada,71,Francia,37,Gusano cogollero,Región Principal,Crítica,Físico (Control térmico),6,2021-06-15
2021,junio,27,1189,Trigo,72,Brasil,26,Langosta,Pampas,Alta,Químico (Imidacloprid),6,2021-06-27
2021,julio,2,1603,Arroz,76,Alemania,28,Oruga militar tardía,Región Principal,Media,Físico (Control térmico),7,2021-07-02
2021,julio,15,552,Algodón,78,Estados Unidos,32,Tizón tardío,California,Baja,Químico (Clorantraniliprol),7,2021-07-15
2021,julio,28,945,Arroz,84,Brasil,23,Roya de la hoja,Pampas,Crítica,Biológico (Nematodos entomopatógenos),7,2021-07-28
2021,agosto,7,4324,Caña de azúcar,95,Francia,40,Pulgón,Región Principal,Alta,Químico (Lambda-cihalotrin),8,2021-08-07
2021,agosto,20,4178,Arroz,93,India,27,Mosca blanca,Punjab,Alta,Cultural (Fecha de siembra ajustada),8,2021-08-20
2021,agosto,21,1803,Cebada,98,China,11,Podredumbre,Región Principal,Media,Químico (Epoxiconazole),8,2021-08-21
2021,septiembre,5,4651,Café,72,Brasil,17,Ácaro,Mata Atlántica,Crítica,Cultural (Fecha de siembra ajustada),9,2021-09-05
2021,septiembre,8,3335,Soja,83,Australia,32,Piricularia,Queensland Coast,Crítica,Físico (Trampas de feromonas),9,2021-09-08
2021,septiembre,9,3256,Girasol,83,Francia,17,Langosta,Región Principal,Crítica,Químico (Epoxiconazole),9,2021-09-09
2021,septiembre,14,688,Té,72,India,2,Pulgón,Ganges,Crítica,Biológico (Bacillus thuringiensis),9,2021-09-14
2021,septiembre,17,27,Caña de azúcar,71,Alemania,10,Roya de la hoja,Región Principal,Baja,Físico (Trampas de feromonas),9,2021-09-17
2021,septiembre,22,828,Girasol,72,Francia,4,Mosca blanca,Región Principal,Alta,Biológico (Nematodos entomopatógenos),9,2021-09-22
2021,octubre,2,2199,Arroz,96,Argentina,35,Oídio,Cuyo,Baja,Cultural (Control manual),10,2021-10-02
2021,octubre,4,4227,Trigo,89,China,16,Mosca blanca,Región Principal,Media,Biológico (Trichogramma spp.),10,2021-10-04
2021,octubre,16,3716,Maíz,79,China,20,Roya de la hoja,Región Principal,Crítica,Cultural (Control manual),10,2021-10-16
2021,octubre,27,1734,Algodón,74,Alemania,11,Fusarium,Región Principal,Alta,Químico (Epoxiconazole),10,2021-10-27
2021,octubre,28,1233,Maíz,94,Brasil,23,Langosta,Cerrado,Media,Biológico (Trichogramma spp.),10,2021-10-28
2021,noviembre,9,1014,Té,76,Francia,32,Mildiu,Región Principal,Crítica,Cultural (Control manual),11,2021-11-09
2021,noviembre,20,410,Girasol,82,Argentina,13,Pulgón,Cuyo,Baja,Biológico (Trichogramma spp.),11,2021-11-20
2021,diciembre,4,1098,Caña de azúcar,92,Australia,29,Antracnosis,Tasmania,Crítica,Cultural (Control manual),12,2021-12-04
2021,diciembre,15,3416,Té,98,Francia,23,Chinche marrón,Región Principal,Alta,Biológico (Trichogramma spp.),12,2021-12-15
2021,diciembre,18,1666,Trigo,71,Argentina,2,Langosta,Cuyo,Alta,Químico (Epoxiconazole),12,2021-12-18
2021,diciembre,29,4114,Girasol,74,Francia,23,Gusano cogollero,Región Principal,Crítica,Químico (Imidacloprid),12,2021-12-29
2022,enero,9,332,Café,88,China,37,Tizón tardío,Región Principal,Crítica,Físico (Control térmico),1,2022-01-09
2022,enero,14,3897,Maíz,98,Australia,40,Ácaro,Queensland Coast,Baja,Físico (Barreras físicas),1,2022-01-14
